rep_id,success,n_obs,event_rate,n_events,f_stat_naive,f_stat_cluster,n_clusters,gamma_hat,gamma_se,lambda_hat,gamma_ci_lo,gamma_ci_hi,gamma_covers_true,elapsed_sec
36,True,40000,0.02815,1126,37655.306626521146,26233.164923735854,32,0.4815000751435358,0.030282338786126697,0.3691794741314591,0.4221466911227275,0.5408534591643441,True,41.89
37,True,40000,0.03045,1218,38141.27519552746,98955.04224103986,32,0.5048153806043388,0.028984649467407548,0.3913349255089642,0.44800546764822,0.5616252935604577,True,41.55
38,True,40000,0.031,1240,37668.54464052313,70546.44296534803,32,0.5046907904028318,0.02992722105989993,0.3348737218613084,0.446033437125428,0.5633481436802357,True,41.47
39,True,40000,0.029975,1199,37846.15622744516,42586.91321825444,32,0.48952799888015563,0.03016724943263721,0.3609235785678113,0.4304001899921867,0.5486558077681246,True,41.59
40,True,40000,0.0308,1232,37591.01277914467,72722.42088941488,32,0.46314272272191853,0.029268644574441706,0.37275502866488447,0.4057761793560128,0.5205092660878243,True,41.82
41,True,40000,0.030625,1225,36617.01376094297,77145.30871667476,32,0.5046015603242646,0.029567861716203944,0.3256868618045939,0.4466485513605049,0.5625545692880244,True,43.87
42,True,40000,0.030475,1219,38196.81263688749,32929.707486648374,32,0.518291723183774,0.029441012789293654,0.31774550692871745,0.46058733811675845,0.5759961082507896,True,42.48
43,True,40000,0.02945,1178,37934.55066507037,51054.4466457394,32,0.5251042057817256,0.03035830356745984,0.31196498604736844,0.4656019307895043,0.5846064807739468,True,41.65
44,True,40000,0.031625,1265,36015.34986948255,22872.622198397854,32,0.3921562607232574,0.02941604075479278,0.42856620761695585,0.3345008208438635,0.44981170060265124,False,41.53
45,True,40000,0.0298,1192,37810.85111048299,55564.08327744844,32,0.511897620110911,0.02965178229132817,0.30485515148387127,0.45378012681990776,0.5700151134019142,True,41.69
46,True,40000,0.0292,1168,38294.021432161106,48414.1444639308,32,0.5342419537758114,0.030541447260452517,0.24842631858385256,0.4743807171453245,0.5941031904062983,True,41.69
47,True,40000,0.03035,1214,37218.85335058201,69319.82874155082,32,0.4624356281314177,0.03077107683045581,0.36863511079594896,0.4021243175437243,0.522746938719111,True,41.52
48,True,40000,0.029275,1171,38228.42652109916,61663.96996658527,32,0.4554970248286416,0.02917943817633904,0.4704915096952773,0.39830532600301705,0.5126887236542661,True,41.49
49,True,40000,0.0314,1256,37954.38504374359,146975.21061229229,32,0.4827700084148203,0.028711976249622042,0.34384483080386047,0.4264945349655611,0.5390454818640795,True,42.38
50,True,40000,0.030325,1213,37562.91010002125,25481.720188307205,32,0.47643977266886767,0.03012681213531821,0.3155940659537747,0.417391220883644,0.5354883244540913,True,42.54
51,True,40000,0.03115,1246,37524.26625027593,75103.93884742797,32,0.4576187791631631,0.029116466528220652,0.33239224539230594,0.40055050476785065,0.5146870535584755,True,43.5
52,True,40000,0.0294,1176,37308.8328343118,39128.88269847376,32,0.5103011645838281,0.029766120974187474,0.33007754541373996,0.4519595674744207,0.5686427616932356,True,44.12
