region_code,year,campaign,working_days_window,total_window_days,working_days_fraction,mean_precipitation_mm,mean_temperature_c,missing_weather_days,source
kuban,2022,harvest,68,76,0.8947368421052632,1.6286842105263155,22.627631578947362,0,nasa_power
kuban,2023,sowing,45,62,0.7258064516129032,3.4477419354838714,16.14112903225806,0,nasa_power
kuban,2023,harvest,73,76,0.9605263157894737,0.6798684210526316,23.096973684210525,0,nasa_power
kuban,2024,sowing,59,62,0.9516129032258065,1.1106451612903223,18.65516129032258,0,nasa_power
kuban,2024,harvest,71,76,0.9342105263157895,1.4469736842105265,23.553947368421056,0,nasa_power
kuban,2025,sowing,55,62,0.8870967741935484,1.995161290322581,17.12532258064516,0,nasa_power
kuban,2025,harvest,63,76,0.8289473684210527,2.20421052631579,21.554999999999996,0,nasa_power
altai,2022,sowing,51,62,0.8225806451612904,1.2141935483870965,14.485322580645162,0,nasa_power
altai,2022,harvest,64,76,0.8421052631578947,0.6819736842105262,13.699868421052633,0,nasa_power
altai,2023,sowing,47,62,0.7580645161290323,1.062258064516129,11.402903225806451,0,nasa_power
altai,2023,harvest,61,76,0.8026315789473685,2.813552631578947,14.453815789473687,0,nasa_power
altai,2024,sowing,44,62,0.7096774193548387,2.7217741935483866,11.887741935483872,0,nasa_power
altai,2024,harvest,60,76,0.7894736842105263,1.8035526315789472,13.214210526315789,0,nasa_power
altai,2025,sowing,54,62,0.8709677419354839,1.586290322580645,14.190645161290323,0,nasa_power
altai,2025,harvest,52,76,0.6842105263157895,2.621184210526316,12.244736842105262,0,nasa_power
amur,2022,sowing,36,62,0.5806451612903226,2.212903225806452,9.278548387096775,0,nasa_power
amur,2022,harvest,51,76,0.6710526315789473,2.505,11.794342105263157,0,nasa_power
amur,2023,sowing,43,62,0.6935483870967742,1.745806451612903,10.139354838709679,0,nasa_power
amur,2023,harvest,54,76,0.7105263157894737,3.601710526315789,13.138289473684212,0,nasa_power
amur,2024,sowing,48,62,0.7741935483870968,2.0906451612903227,10.630000000000003,0,nasa_power
amur,2024,harvest,60,76,0.7894736842105263,1.6280263157894737,13.891578947368425,0,nasa_power
amur,2025,sowing,39,62,0.6290322580645161,2.9712903225806446,9.629032258064516,0,nasa_power
amur,2025,harvest,48,76,0.631578947368421,3.5376315789473685,12.478815789473684,0,nasa_power
vladimir,2022,sowing,44,62,0.7096774193548387,2.367096774193549,9.434999999999999,0,nasa_power
vladimir,2022,harvest,64,76,0.8421052631578947,1.8723684210526315,13.82065789473684,0,nasa_power
vladimir,2023,sowing,51,62,0.8225806451612904,1.8922580645161289,11.18290322580645,0,nasa_power
vladimir,2023,harvest,64,76,0.8421052631578947,1.6330263157894738,14.456447368421056,0,nasa_power
vladimir,2024,sowing,44,62,0.7096774193548387,2.2048387096774196,12.200645161290321,0,nasa_power
vladimir,2024,harvest,64,76,0.8421052631578947,1.569736842105263,15.066315789473686,0,nasa_power
vladimir,2025,sowing,51,62,0.8225806451612904,2.1853225806451615,12.62258064516129,0,nasa_power
vladimir,2025,harvest,62,76,0.8157894736842105,1.9756578947368417,13.043157894736844,0,nasa_power
