source_file,source_sheet,source_row_excel,source_column_excel,year,month,frequency,geography_level,region_name,region_source_code,product_name_raw,okpd2_raw,raw_value,value_numeric,value_status,price_timing,unit_raw
cena_sx_07-2026.xlsx,6.1,2659,M,2025,11.0,monthly,subject,Тюменская область,,Олени северные,01.49.19.110,...,,confidential,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2659,N,2025,12.0,monthly,subject,Тюменская область,,Олени северные,01.49.19.110,248315.34,248315.34,observed,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2660,C,2025,1.0,monthly,subject,Ханты-Мансийский автономный округ - Югра (Тюменская область),,Олени северные,01.49.19.110,...,,confidential,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2660,D,2025,2.0,monthly,subject,Ханты-Мансийский автономный округ - Югра (Тюменская область),,Олени северные,01.49.19.110,...,,confidential,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2660,E,2025,3.0,monthly,subject,Ханты-Мансийский автономный округ - Югра (Тюменская область),,Олени северные,01.49.19.110,...,,confidential,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2660,F,2025,4.0,monthly,subject,Ханты-Мансийский автономный округ - Югра (Тюменская область),,Олени северные,01.49.19.110,...,,confidential,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2660,G,2025,5.0,monthly,subject,Ханты-Мансийский автономный округ - Югра (Тюменская область),,Олени северные,01.49.19.110,...,,confidential,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2660,H,2025,6.0,monthly,subject,Ханты-Мансийский автономный округ - Югра (Тюменская область),,Олени северные,01.49.19.110,...,,confidential,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2660,I,2025,7.0,monthly,subject,Ханты-Мансийский автономный округ - Югра (Тюменская область),,Олени северные,01.49.19.110,...,,confidential,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2660,J,2025,8.0,monthly,subject,Ханты-Мансийский автономный округ - Югра (Тюменская область),,Олени северные,01.49.19.110,...,,confidential,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2660,K,2025,9.0,monthly,subject,Ханты-Мансийский автономный округ - Югра (Тюменская область),,Олени северные,01.49.19.110,...,,confidential,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2660,L,2025,10.0,monthly,subject,Ханты-Мансийский автономный округ - Югра (Тюменская область),,Олени северные,01.49.19.110,...,,confidential,end_of_period,RUB/ton
